ID,Measure,Income ,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Value,Value_type,Denominator
61_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Other,ONS 5+2,K02000001,2,%,597
62_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Pakistani,ONS 5+2,K02000001,-,%,618
63_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,White,ONS 5+2,K02000001,1,%,66117
64_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,White British,ONS 5+2,K02000001,1,%,63385
65_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,White other,ONS 5+2,K02000001,2,%,2732
66_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,All,ONS 5+2,K02000001,4,%,71324
67_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Asian other,ONS 5+2,K02000001,5,%,420
68_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Asian,ONS 5+2,K02000001,5,%,2622
69_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,2,%,221
70_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Black,ONS 5+2,K02000001,2,%,1457
71_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Chinese,ONS 5+2,K02000001,3,%,236
72_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Indian,ONS 5+2,K02000001,7,%,1127
73_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Mixed,ONS 5+2,K02000001,3,%,531
74_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Other,ONS 5+2,K02000001,4,%,597
75_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Pakistani,ONS 5+2,K02000001,4,%,618
76_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,White,ONS 5+2,K02000001,4,%,66117
77_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,White British,ONS 5+2,K02000001,4,%,63385
78_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,White other,ONS 5+2,K02000001,7,%,2732
79_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,All,ONS 5+2,K02000001,26,%,71324
80_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Asian other,ONS 5+2,K02000001,19,%,420
81_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Asian,ONS 5+2,K02000001,21,%,2622
82_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,24,%,221
83_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Black,ONS 5+2,K02000001,30,%,1457
84_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Chinese,ONS 5+2,K02000001,15,%,236
85_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Indian,ONS 5+2,K02000001,19,%,1127
86_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Mixed,ONS 5+2,K02000001,27,%,531
87_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Other,ONS 5+2,K02000001,23,%,597
88_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Pakistani,ONS 5+2,K02000001,28,%,618
89_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,White,ONS 5+2,K02000001,27,%,66117
90_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,White British,ONS 5+2,K02000001,27,%,63385
91_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,White other,ONS 5+2,K02000001,22,%,2732
92_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,All,ONS 5+2,K02000001,19,%,71324
93_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Asian other,ONS 5+2,K02000001,20,%,420
94_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Asian,ONS 5+2,K02000001,21,%,2622
95_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,29,%,221
96_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Black,ONS 5+2,K02000001,20,%,1457
97_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Chinese,ONS 5+2,K02000001,19,%,236
98_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Indian,ONS 5+2,K02000001,16,%,1127
99_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Mixed,ONS 5+2,K02000001,19,%,531
100_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Other,ONS 5+2,K02000001,21,%,597
101_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Pakistani,ONS 5+2,K02000001,28,%,618
102_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,White,ONS 5+2,K02000001,19,%,66117
103_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,White British,ONS 5+2,K02000001,19,%,63385
104_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,White other,ONS 5+2,K02000001,19,%,2732
105_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,All,ONS 5+2,K02000001,14,%,71324
106_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,Asian other,ONS 5+2,K02000001,15,%,420
107_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,Asian,ONS 5+2,K02000001,14,%,2622
108_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,15,%,221
109_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,Black,ONS 5+2,K02000001,14,%,1457
110_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,Chinese,ONS 5+2,K02000001,14,%,236
111_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,Indian,ONS 5+2,K02000001,15,%,1127
112_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,Mixed,ONS 5+2,K02000001,16,%,531
113_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,Other,ONS 5+2,K02000001,12,%,597
114_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,Pakistani,ONS 5+2,K02000001,12,%,618
115_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,White,ONS 5+2,K02000001,14,%,66117
116_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,White British,ONS 5+2,K02000001,14,%,63385
117_household,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,White other,ONS 5+2,K02000001,13,%,2732
118_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,All,ONS 5+2,K02000001,10,%,71324
119_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,Asian other,ONS 5+2,K02000001,12,%,420
120_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,Asian,ONS 5+2,K02000001,11,%,2622
121_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,8,%,221
122_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,Black,ONS 5+2,K02000001,9,%,1457
123_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,Chinese,ONS 5+2,K02000001,10,%,236
124_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,Indian,ONS 5+2,K02000001,11,%,1127
125_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,Mixed,ONS 5+2,K02000001,9,%,531
126_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,Other,ONS 5+2,K02000001,10,%,597
127_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,Pakistani,ONS 5+2,K02000001,10,%,618
128_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,White,ONS 5+2,K02000001,10,%,66117
129_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,White British,ONS 5+2,K02000001,10,%,63385
130_household,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,White other,ONS 5+2,K02000001,11,%,2732
131_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,All,ONS 5+2,K02000001,9,%,71324
132_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,Asian other,ONS 5+2,K02000001,11,%,420
133_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,Asian,ONS 5+2,K02000001,9,%,2622
134_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,13,%,221
135_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,Black,ONS 5+2,K02000001,12,%,1457
136_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,Chinese,ONS 5+2,K02000001,18,%,236
137_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,Indian,ONS 5+2,K02000001,7,%,1127
138_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,Mixed,ONS 5+2,K02000001,10,%,531
139_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,Other,ONS 5+2,K02000001,15,%,597
140_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,Pakistani,ONS 5+2,K02000001,9,%,618
141_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,White,ONS 5+2,K02000001,9,%,66117
142_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,White British,ONS 5+2,K02000001,9,%,63385
143_household,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,White other,ONS 5+2,K02000001,9,%,2732
144_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,All,ONS 5+2,K02000001,7,%,66320
145_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,Asian other,ONS 5+2,K02000001,7,%,396
146_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,Asian,ONS 5+2,K02000001,7,%,2454
147_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,Bangladeshi,ONS 5+2,K02000001,4,%,228
148_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,Black,ONS 5+2,K02000001,5,%,1355
149_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,Chinese,ONS 5+2,K02000001,6,%,213
150_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,Indian,ONS 5+2,K02000001,9,%,1047
151_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,Mixed,ONS 5+2,K02000001,7,%,491
152_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,Other,ONS 5+2,K02000001,6,%,600
153_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,Pakistani,ONS 5+2,K02000001,4,%,570
154_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,White,ONS 5+2,K02000001,7,%,61420
155_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,White British,ONS 5+2,K02000001,7,%,58941
156_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,White other,ONS 5+2,K02000001,7,%,2479
157_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,All,ONS 5+2,K02000001,4,%,66320
158_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,Asian other,ONS 5+2,K02000001,6,%,396
